"stage_name","stage_date","stage_length","stage_rank_name","stage_rank_rider","stage_rank_team","stage_rank_points","stage_rank_time"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","48","VERRE Alessandro","Team Arkéa Samsic","","3:08"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","49","DENZ Nico","BORA - hansgrohe","","3:12"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","50","PÖSTLBERGER Lukas","Team Jayco AlUla","","3:16"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","51","ROTA Lorenzo","Intermarché - Circus - Wanty","","3:18"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","52","PALZER Anton","BORA - hansgrohe","",",,"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","53","DAINESE Alberto","Team DSM","","3:23"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","54","HOOLE Daan","Trek - Segafredo","",",,"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","55","MAESTRI Mirco","EOLO-Kometa","",",,"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","56","BETTIOL Alberto","EF Education-EasyPost","","3:26"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","57","FETTER Erik","EOLO-Kometa","","3:27"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","58","LASTRA Jonathan","Cofidis","","3:28"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","59","MILAN Jonathan","Bahrain - Victorious","","3:31"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","60","KONRAD Patrick","BORA - hansgrohe","","3:32"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","61","SWIFT Ben","INEOS Grenadiers","","3:33"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","62","BARGUIL Warren","Team Arkéa Samsic","","3:38"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","63","MÄRKL Niklas","Team DSM","",",,"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","64","RIES Michel","Team Arkéa Samsic","","3:42"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","65","RIOU Alan","Team Arkéa Samsic","",",,"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","66","PASQUALON Andrea","Bahrain - Victorious","","3:44"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","67","DELETTRE Alexandre","Cofidis","","3:46"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","68","BAIS Mattia","EOLO-Kometa","","3:50"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","69","LEYSEN Senne","Alpecin-Deceuninck","",",,"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","70","VAN WILDER Ilan","Soudal - Quick Step","","3:52"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","71","BALLERINI Davide","Soudal - Quick Step","","3:54"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","72","MATTHEWS Michael","Team Jayco AlUla","","3:55"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","73","ARASHIRO Yukiya","Bahrain - Victorious","",",,"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","74","SKUJIŅŠ Toms","Trek - Segafredo","","3:57"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","75","FRIGO Marco","Israel - Premier Tech","","4:06"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","76","SERRY Pieter","Soudal - Quick Step","",",,"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","77","REX Laurenz","Intermarché - Circus - Wanty","","4:07"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","78","GAVAZZI Francesco","EOLO-Kometa","","4:09"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","79","ZAMBANINI Edoardo","Bahrain - Victorious","","4:12"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","80","ZANA Filippo","Team Jayco AlUla","","4:14"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","81","MOSCON Gianni","Astana Qazaqstan Team","","4:19"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","82","TONELLI Alessandro","Green Project-Bardiani CSF-Faizanè","","4:20"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","83","KUSS Sepp","Jumbo-Visma","","4:21"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","84","TOUMIRE Hugo","Cofidis","","4:22"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","85","FORMOLO Davide","UAE Team Emirates","","4:27"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","86","GHEBREIGZABHIER Amanuel","Trek - Segafredo","","4:29"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","87","MOLARD Rudy","Groupama - FDJ","","4:30"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","88","VENDRAME Andrea","AG2R Citroën Team","",",,"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","89","ACKERMANN Pascal","UAE Team Emirates","","4:31"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","90","PUCCIO Salvatore","INEOS Grenadiers","","4:35"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","91","PEDERSEN Mads","Trek - Segafredo","","4:37"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","92","BAUDIN Alex","AG2R Citroën Team","","4:38"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","93","CONSONNI Simone","Cofidis","","4:41"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","94","RIESEBEEK Oscar","Alpecin-Deceuninck","",",,"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","95","LIENHARD Fabian","Groupama - FDJ","","4:43"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","96","PRODHOMME Nicolas","AG2R Citroën Team","","4:44"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","97","DE BOD Stefan","EF Education-EasyPost","","4:45"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","98","CHEREL Mikaël","AG2R Citroën Team","",",,"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","99","OLDANI Stefano","Alpecin-Deceuninck","","4:48"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","100","CLARKE Simon","Israel - Premier Tech","","4:49"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","101","KRIEGER Alexander","Alpecin-Deceuninck","","4:50"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","102","CHAMPION Thomas","Cofidis","","4:52"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","103","GAVIRIA Fernando","Movistar Team","",",,"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","104","KONOVALOVAS Ignatas","Groupama - FDJ","","4:53"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","105","FORTUNATO Lorenzo","EOLO-Kometa","","4:54"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","106","COVI Alessandro","UAE Team Emirates","","4:55"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","107","VERVAEKE Louis","Soudal - Quick Step","",",,"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","108","ROJAS José Joaquín","Movistar Team","","4:56"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","109","BYSTRØM Sven Erik","Intermarché - Circus - Wanty","","4:58"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","110","DOMBROWSKI Joe","Astana Qazaqstan Team","","4:59"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","111","ČERNÝ Josef","Soudal - Quick Step","",",,"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","112","GANDIN Stefano","Team Corratec - Selle Italia","","5:01"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","113","MAYRHOFER Marius","Team DSM","","5:03"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","114","ALBANESE Vincenzo","EOLO-Kometa","","5:05"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","115","HUYS Laurens","Intermarché - Circus - Wanty","","5:06"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","116","GLOAG Thomas","Jumbo-Visma","",",,"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","117","PARET-PEINTRE Valentin","AG2R Citroën Team","","5:07"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","118","TESFATSION Natnael","Trek - Segafredo","",",,"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","119","KANTER Max","Movistar Team","","5:08"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","120","BONIFAZIO Niccolò","Intermarché - Circus - Wanty","","5:10"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","121","KONYCHEV Alexander","Team Corratec - Selle Italia","","5:12"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","122","GUERNALEC Thibault","Team Arkéa Samsic","","5:13"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","123","SCOTSON Callum","Team Jayco AlUla","","5:17"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","124","OOMEN Sam","Jumbo-Visma","",",,"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","125","HESSMANN Michel","Jumbo-Visma","","5:20"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","126","WILLIAMS Stephen","Israel - Premier Tech","","5:23"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","127","STEWART Jake","Groupama - FDJ","","5:24"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","128","BIDARD François","Cofidis","","5:26"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","129","BERWICK Sebastian","Israel - Premier Tech","","5:30"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","130","MARIT Arne","Intermarché - Circus - Wanty","",",,"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","131","GABBURO Davide","Green Project-Bardiani CSF-Faizanè","",",,"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","132","CEPEDA Jefferson Alexander","EF Education-EasyPost","","5:31"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","133","SEVILLA Diego Pablo","EOLO-Kometa","","5:33"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","134","STOJNIĆ Veljko","Team Corratec - Selle Italia","","5:34"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","135","CAVENDISH Mark","Astana Qazaqstan Team","","5:35"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","136","BOUET Maxime","Team Arkéa Samsic","","5:39"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","137","BAIS Davide","EOLO-Kometa","",",,"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","138","DALLA VALLE Nicolas","Team Corratec - Selle Italia","","5:43"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","139","VERONA Carlos","Movistar Team","","5:44"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","140","STEWART Campbell","Team Jayco AlUla","",",,"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","141","VERGAERDE Otto","Trek - Segafredo","","5:45"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","142","PETILLI Simone","Intermarché - Circus - Wanty","",",,"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","143","GROVES Kaden","Alpecin-Deceuninck","","5:46"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","144","RICCITELLO Matthew","Israel - Premier Tech","","5:51"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","145","BENEDETTI Cesare","BORA - hansgrohe","","5:55"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","146","VACEK Karel","Team Corratec - Selle Italia","","5:56"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","147","TORRES Albert","Movistar Team","","5:57"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","148","VANHOUCKE Harm","Team DSM","",",,"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","149","HIRT Jan","Soudal - Quick Step","","6:01"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","150","FIORELLI Filippo","Green Project-Bardiani CSF-Faizanè","","6:02"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","151","CAICEDO Jonathan Klever","EF Education-EasyPost","","6:04"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","152","COVILI Luca","Green Project-Bardiani CSF-Faizanè","","6:07"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","153","TAARAMÄE Rein","Intermarché - Circus - Wanty","",",,"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","154","BATTISTELLA Samuele","Astana Qazaqstan Team","","6:08"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","155","MULUBRHAN Henok","Green Project-Bardiani CSF-Faizanè","",",,"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","156","IACCHI Alessandro","Team Corratec - Selle Italia","","6:10"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","157","RODRÍGUEZ Óscar","Movistar Team","","6:21"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","158","MAGLI Filippo","Green Project-Bardiani CSF-Faizanè","",",,"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","159","WÜRTZ SCHMIDT Mads","Israel - Premier Tech","","6:22"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","160","SBARAGLI Kristian","Alpecin-Deceuninck","","6:31"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","161","MARCELLUSI Martin","Green Project-Bardiani CSF-Faizanè","","6:37"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","162","HVIDEBERG Jonas Iversby","Team DSM","","6:44"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","163","TUSVELD Martijn","Team DSM","","6:53"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14/05","(35k)","DNS","CIMOLAI Davide","Cofidis","","-"
"Stage 10 | Scandiano - Viareggio","16/05","(196k)","1","CORT Magnus","EF Education-EasyPost","80","4:51:15"
"Stage 10 | Scandiano - Viareggio","16/05","(196k)","2","GEE Derek","Israel - Premier Tech","50",",,"
"Stage 10 | Scandiano - Viareggio","16/05","(196k)","3","DE MARCHI Alessandro","Team Jayco AlUla","35","0:02"
"Stage 10 | Scandiano - Viareggio","16/05","(196k)","4","PEDERSEN Mads","Trek - Segafredo","25","0:51"
"Stage 10 | Scandiano - Viareggio","16/05","(196k)","5","ACKERMANN Pascal","UAE Team Emirates","18",",,"
"Stage 10 | Scandiano - Viareggio","16/05","(196k)","6","OLDANI Stefano","Alpecin-Deceuninck","15",",,"
"Stage 10 | Scandiano - Viareggio","16/05","(196k)","7","MILAN Jonathan","Bahrain - Victorious","12",",,"
"Stage 10 | Scandiano - Viareggio","16/05","(196k)","8","CAVENDISH Mark","Astana Qazaqstan Team","10",",,"
"Stage 10 | Scandiano - Viareggio","16/05","(196k)","9","MAESTRI Mirco","EOLO-Kometa","8",",,"
"Stage 10 | Scandiano - Viareggio","16/05","(196k)","10","FIORELLI Filippo","Green Project-Bardiani CSF-Faizanè","6",",,"
"Stage 10 | Scandiano - Viareggio","16/05","(196k)","11","ROTA Lorenzo","Intermarché - Circus - Wanty","5",",,"
"Stage 10 | Scandiano - Viareggio","16/05","(196k)","12","MAYRHOFER Marius","Team DSM","4",",,"
"Stage 10 | Scandiano - Viareggio","16/05","(196k)","13","BALLERINI Davide","Soudal - Quick Step","3",",,"
"Stage 10 | Scandiano - Viareggio","16/05","(196k)","14","KÄMNA Lennard","BORA - hansgrohe","2",",,"
"Stage 10 | Scandiano - Viareggio","16/05","(196k)","15","MAGLI Filippo","Green Project-Bardiani CSF-Faizanè","1",",,"
"Stage 10 | Scandiano - Viareggio","16/05","(196k)","16","HUYS Laurens","Intermarché - Circus - Wanty","",",,"
"Stage 10 | Scandiano - Viareggio","16/05","(196k)","17","MÄRKL Niklas","Team DSM","",",,"
"Stage 10 | Scandiano - Viareggio","16/05","(196k)","18","GAVAZZI Francesco","EOLO-Kometa","",",,"
"Stage 10 | Scandiano - Viareggio","16/05","(196k)","19","BETTIOL Alberto","EF Education-EasyPost","",",,"
"Stage 10 | Scandiano - Viareggio","16/05","(196k)","20","VELASCO Simone","Astana Qazaqstan Team","",",,"
"Stage 10 | Scandiano - Viareggio","16/05","(196k)","21","CARUSO Damiano","Bahrain - Victorious","",",,"
"Stage 10 | Scandiano - Viareggio","16/05","(196k)","22","THOMAS Geraint","INEOS Grenadiers","",",,"
"Stage 10 | Scandiano - Viareggio","16/05","(196k)","23","GEOGHEGAN HART Tao","INEOS Grenadiers","",",,"
"Stage 10 | Scandiano - Viareggio","16/05","(196k)","24","ALMEIDA João","UAE Team Emirates","",",,"
"Stage 10 | Scandiano - Viareggio","16/05","(196k)","25","VAN WILDER Ilan","Soudal - Quick Step","",",,"
"Stage 10 | Scandiano - Viareggio","16/05","(196k)","26","HESSMANN Michel","Jumbo-Visma","",",,"
"Stage 10 | Scandiano - Viareggio","16/05","(196k)","27","DUNBAR Eddie","Team Jayco AlUla","",",,"
"Stage 10 | Scandiano - Viareggio","16/05","(196k)","28","ARENSMAN Thymen","INEOS Grenadiers","",",,"
"Stage 10 | Scandiano - Viareggio","16/05","(196k)","29","PARET-PEINTRE Aurélien","AG2R Citroën Team","",",,"
"Stage 10 | Scandiano - Viareggio","16/05","(196k)","30","ARMIRAIL Bruno","Groupama - FDJ","",",,"
"Stage 10 | Scandiano - Viareggio","16/05","(196k)","31","KONRAD Patrick","BORA - hansgrohe","",",,"
"Stage 10 | Scandiano - Viareggio","16/05","(196k)","32","AFFINI Edoardo","Jumbo-Visma","",",,"
"Stage 10 | Scandiano - Viareggio","16/05","(196k)","33","SIVAKOV Pavel","INEOS Grenadiers","",",,"
"Stage 10 | Scandiano - Viareggio","16/05","(196k)","34","DE PLUS Laurens","INEOS Grenadiers","",",,"
"Stage 10 | Scandiano - Viareggio","16/05","(196k)","35","HAIG Jack","Bahrain - Victorious","",",,"
"Stage 10 | Scandiano - Viareggio","16/05","(196k)","36","CARTHY Hugh","EF Education-EasyPost","",",,"
"Stage 10 | Scandiano - Viareggio","16/05","(196k)","37","CEPEDA Jefferson Alexander","EF Education-EasyPost","",",,"
"Stage 10 | Scandiano - Viareggio","16/05","(196k)","38","ROGLIČ Primož","Jumbo-Visma","",",,"
"Stage 10 | Scandiano - Viareggio","16/05","(196k)","39","BUITRAGO Santiago","Bahrain - Victorious","",",,"
"Stage 10 | Scandiano - Viareggio","16/05","(196k)","40","PINOT Thibaut","Groupama - FDJ","",",,"
"Stage 10 | Scandiano - Viareggio","16/05","(196k)","41","PASQUALON Andrea","Bahrain - Victorious","",",,"
"Stage 10 | Scandiano - Viareggio","16/05","(196k)","42","DENNIS Rohan","Jumbo-Visma","",",,"
"Stage 10 | Scandiano - Viareggio","16/05","(196k)","43","KUSS Sepp","Jumbo-Visma","",",,"
"Stage 10 | Scandiano - Viareggio","16/05","(196k)","44","CLARKE Simon","Israel - Premier Tech","",",,"
"Stage 10 | Scandiano - Viareggio","16/05","(196k)","45","LEKNESSUND Andreas","Team DSM","","1:04"
"Stage 10 | Scandiano - Viareggio","16/05","(196k)","46","GHEBREIGZABHIER Amanuel","Trek - Segafredo","","1:06"
"Stage 10 | Scandiano - Viareggio","16/05","(196k)","47","LASTRA Jonathan","Cofidis","","1:58"
"Stage 10 | Scandiano - Viareggio","16/05","(196k)","48","MOLARD Rudy","Groupama - FDJ","",",,"
"Stage 10 | Scandiano - Viareggio","16/05","(196k)","49","CATTANEO Mattia","Soudal - Quick Step","",",,"
"Stage 10 | Scandiano - Viareggio","16/05","(196k)","50","CONSONNI Simone","Cofidis","",",,"
"Stage 10 | Scandiano - Viareggio","16/05","(196k)","51","ULISSI Diego","UAE Team Emirates","",",,"
"Stage 10 | Scandiano - Viareggio","16/05","(196k)","52","CHAMPION Thomas","Cofidis","",",,"
"Stage 10 | Scandiano - Viareggio","16/05","(196k)","53","COVILI Luca","Green Project-Bardiani CSF-Faizanè","",",,"
"Stage 10 | Scandiano - Viareggio","16/05","(196k)","54","OOMEN Sam","Jumbo-Visma","",",,"
"Stage 10 | Scandiano - Viareggio","16/05","(196k)","55","TONELLI Alessandro","Green Project-Bardiani CSF-Faizanè","",",,"
"Stage 10 | Scandiano - Viareggio","16/05","(196k)","56","PARET-PEINTRE Valentin","AG2R Citroën Team","",",,"
"Stage 10 | Scandiano - Viareggio","16/05","(196k)","57","PRODHOMME Nicolas","AG2R Citroën Team","",",,"
"Stage 10 | Scandiano - Viareggio","16/05","(196k)","58","FRIGO Marco","Israel - Premier Tech","",",,"
"Stage 10 | Scandiano - Viareggio","16/05","(196k)","59","SCARONI Christian","Astana Qazaqstan Team","",",,"
"Stage 10 | Scandiano - Viareggio","16/05","(196k)","60","VERVAEKE Louis","Soudal - Quick Step","",",,"
"Stage 10 | Scandiano - Viareggio","16/05","(196k)","61","MOSCON Gianni","Astana Qazaqstan Team","",",,"
"Stage 10 | Scandiano - Viareggio","16/05","(196k)","62","DELETTRE Alexandre","Cofidis","","2:32"
"Stage 10 | Scandiano - Viareggio","16/05","(196k)","63","BERWICK Sebastian","Israel - Premier Tech","","5:07"
"Stage 10 | Scandiano - Viareggio","16/05","(196k)","64","GLOAG Thomas","Jumbo-Visma","","7:29"
"Stage 10 | Scandiano - Viareggio","16/05","(196k)","65","ZAMBANINI Edoardo","Bahrain - Victorious","","8:05"
"Stage 10 | Scandiano - Viareggio","16/05","(196k)","66","VINE Jay","UAE Team Emirates","","11:19"
"Stage 10 | Scandiano - Viareggio","16/05","(196k)","67","FORMOLO Davide","UAE Team Emirates","",",,"
"Stage 10 | Scandiano - Viareggio","16/05","(196k)","68","GIBBONS Ryan","UAE Team Emirates","",",,"
"Stage 10 | Scandiano - Viareggio","16/05","(196k)","69","COVI Alessandro","UAE Team Emirates","",",,"
"Stage 10 | Scandiano - Viareggio","16/05","(196k)","70","DENZ Nico","BORA - hansgrohe","",",,"
"Stage 10 | Scandiano - Viareggio","16/05","(196k)","71","PALZER Anton","BORA - hansgrohe","",",,"
"Stage 10 | Scandiano - Viareggio","16/05","(196k)","72","BOUWMAN Koen","Jumbo-Visma","",",,"
"Stage 10 | Scandiano - Viareggio","16/05","(196k)","73","MOLLEMA Bauke","Trek - Segafredo","",",,"
"Stage 10 | Scandiano - Viareggio","16/05","(196k)","74","KIRSCH Alex","Trek - Segafredo","",",,"
"Stage 10 | Scandiano - Viareggio","16/05","(196k)","75","JUNGELS Bob","BORA - hansgrohe","",",,"
"Stage 10 | Scandiano - Viareggio","16/05","(196k)","76","STOJNIĆ Veljko","Team Corratec - Selle Italia","",",,"
"Stage 10 | Scandiano - Viareggio","16/05","(196k)","77","SERRY Pieter","Soudal - Quick Step","",",,"
"Stage 10 | Scandiano - Viareggio","16/05","(196k)","78","VERGAERDE Otto","Trek - Segafredo","",",,"
"Stage 10 | Scandiano - Viareggio","16/05","(196k)","79","HOOLE Daan","Trek - Segafredo","",",,"
"Stage 10 | Scandiano - Viareggio","16/05","(196k)","80","QUARTERMAN Charlie","Team Corratec - Selle Italia","",",,"
"Stage 10 | Scandiano - Viareggio","16/05","(196k)","81","ALBANESE Vincenzo","EOLO-Kometa","",",,"
"Stage 10 | Scandiano - Viareggio","16/05","(196k)","82","SKUJIŅŠ Toms","Trek - Segafredo","",",,"
"Stage 10 | Scandiano - Viareggio","16/05","(196k)","83","SBARAGLI Kristian","Alpecin-Deceuninck","",",,"
"Stage 10 | Scandiano - Viareggio","16/05","(196k)","84","KONYCHEV Alexander","Team Corratec - Selle Italia","",",,"
"Stage 10 | Scandiano - Viareggio","16/05","(196k)","85","TESFATSION Natnael","Trek - Segafredo","",",,"
"Stage 10 | Scandiano - Viareggio","16/05","(196k)","86","GANDIN Stefano","Team Corratec - Selle Italia","",",,"
"Stage 10 | Scandiano - Viareggio","16/05","(196k)","87","WILLIAMS Stephen","Israel - Premier Tech","",",,"
"Stage 10 | Scandiano - Viareggio","16/05","(196k)","88","PUCCIO Salvatore","INEOS Grenadiers","",",,"
"Stage 10 | Scandiano - Viareggio","16/05","(196k)","89","SÜTTERLIN Jasha","Bahrain - Victorious","",",,"
"Stage 10 | Scandiano - Viareggio","16/05","(196k)","90","ZANA Filippo","Team Jayco AlUla","",",,"
"Stage 10 | Scandiano - Viareggio","16/05","(196k)","91","DALLA VALLE Nicolas","Team Corratec - Selle Italia","",",,"
"Stage 10 | Scandiano - Viareggio","16/05","(196k)","92","BATTISTELLA Samuele","Astana Qazaqstan Team","",",,"
"Stage 10 | Scandiano - Viareggio","16/05","(196k)","93","KRIEGER Alexander","Alpecin-Deceuninck","",",,"
"Stage 10 | Scandiano - Viareggio","16/05","(196k)","94","RIES Michel","Team Arkéa Samsic","",",,"
"Stage 10 | Scandiano - Viareggio","16/05","(196k)","95","WARBASSE Larry","AG2R Citroën Team","",",,"
"Stage 10 | Scandiano - Viareggio","16/05","(196k)","96","MARIT Arne","Intermarché - Circus - Wanty","",",,"
"Stage 10 | Scandiano - Viareggio","16/05","(196k)","97","KANTER Max","Movistar Team","",",,"
"Stage 10 | Scandiano - Viareggio","16/05","(196k)","98","LEYSEN Senne","Alpecin-Deceuninck","",",,"
"Stage 10 | Scandiano - Viareggio","16/05","(196k)","99","TOUMIRE Hugo","Cofidis","",",,"
"Stage 10 | Scandiano - Viareggio","16/05","(196k)","100","ROJAS José Joaquín","Movistar Team","",",,"
